model,task,condition,version,nsample,system_type,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,average,notes,file
Gemini_Pro,cpr,default=0,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,output/mult_default/Gemini_Pro-cpr-default=0-v0-n1-blinded.json
Gemini_Pro,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,output/mult_default/Gemini_Pro-cpr-default=11-v0-n1-blinded.json
Gemini_Pro,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,output/mult_default/Gemini_Pro-cpr-default=18-v0-n1-blinded.json
Gemini_Pro,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,output/mult_default/Gemini_Pro-cpr-default=23-v0-n1-blinded.json
Gemini_Pro,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,,output/mult_default/Gemini_Pro-cpr-default=26-v0-n1-blinded.json
Gemini_Pro,cpr,default=30,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,output/mult_default/Gemini_Pro-cpr-default=30-v0-n1-blinded.json
Gemini_Pro,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,output/mult_default/Gemini_Pro-cpr-v0-n1-blinded.json
Gemma_4_31B,cpr,default=0,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,output/mult_default/Gemma_4_31B-cpr-default=0-v0-n1-blinded.json
Gemma_4_31B,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,output/mult_default/Gemma_4_31B-cpr-default=11-v0-n1-blinded.json
Gemma_4_31B,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,output/mult_default/Gemma_4_31B-cpr-default=18-v0-n1-blinded.json
Gemma_4_31B,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/Gemma_4_31B-cpr-default=23-v0-n1-blinded.json
Gemma_4_31B,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,output/mult_default/Gemma_4_31B-cpr-default=26-v0-n1-blinded.json
Gemma_4_31B,cpr,default=30,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/Gemma_4_31B-cpr-default=30-v0-n1-blinded.json
Gemma_4_31B,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,output/mult_default/Gemma_4_31B-cpr-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,default=0,0,1,blinded,5.04347662567888e-07,0.0,0.0,0.0,0.0,1.7257827987960214e-08,0.0,0.0,6.14421235332821e-06,0.0,0.9999933243022826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8453348089834e-08,0.0,0.0,0.0,0.0,0.0,9.999983194344495,,output/mult_default/Llama_3.3_70B_Instruct-cpr-default=0-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222851277057527e-06,0.0,0.00015846132511575126,0.9998293068697304,6.14421235332821e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.475952175842209e-07,0.0,0.0,0.0,0.0,0.0,10.999830692057087,,output/mult_default/Llama_3.3_70B_Instruct-cpr-default=11-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024787521766663585,0.0,0.011108996538242306,0.0,0.00010890876985506645,0.0,0.0,0.0003801289578694637,0.0,0.0,0.9860599884669706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.887008614807527,,output/mult_default/Llama_3.3_70B_Instruct-cpr-default=18-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002187491118182885,0.0,0.8696639207102582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043074254057568753,0.0,0.0,0.0,0.0,0.11758133171956547,0.0,0.009803655035821828,0.0,0.0,0.0,0.0,0.0,11.671354507223958,,output/mult_default/Llama_3.3_70B_Instruct-cpr-default=23-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006883246199401248,0.0,0.008385510525424083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.481823524646916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9837756341541793,0.006530642163653784,0.0,0.0,0.0,0.0,24.855075980557682,,output/mult_default/Llama_3.3_70B_Instruct-cpr-default=26-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,default=30,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002054957731209459,0.0,0.8412624825796248,0.0,0.0,0.0,0.0,0.0007559767017882707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463323316229146,0.0,0.0,0.0,0.0,0.00920968160396814,12.375002876864658,,output/mult_default/Llama_3.3_70B_Instruct-cpr-default=30-v0-n1-blinded.json
Llama_3.3_70B_Instruct,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,1.994733700481656e-06,0.0,0.0,0.00012340980408667956,0.0,0.9998712622574144,0.0,1.7603463121561693e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.715007736466721e-07,0.0,0.0,0.0,0.0,0.0,9.999745286350427,,output/mult_default/Llama_3.3_70B_Instruct-cpr-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,default=0,0,1,blinded,0.6435597296300535,0.09565662267057738,0.01943382164832133,0.23675238664097753,0.0,0.0,0.0,0.0,0.0023575894879887148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636421417940624,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-default=0-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,default=11,0,1,blinded,0.0,2.9686166857466707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004643697802039389,0.9970501414533857,0.0,0.0,4.97149739742427e-05,0.0018949186255510818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.001344728975045,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-default=11-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38432420568824e-05,0.0,0.0,0.0,2.008916742987888e-05,0.00030457907332515836,3.753150583905029e-05,0.0,0.9971742800247901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95522591140411,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-default=18-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002413582977014707,0.0,0.0,0.9988975427689033,0.0,4.26022701551338e-05,0.0,4.678944025476303e-05,1.426997303533832e-05,0.0,0.0,22.982198580524553,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-default=23-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099540503638773,0.0,0.0,0.0,9.797665119038496e-06,4.0842744696560605e-06,0.9978856220450402,0.0,1.9905164031255237e-06,0.0,0.0,25.963618239462207,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-default=26-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,default=30,0,1,blinded,0.0,0.0,0.0,4.225682345199081e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9560982624887938,28.68307464513417,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-default=30-v0-n1-blinded.json
Qwen3_235B_A22B_Instruct,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7054686627524823,0.0,0.0004421360392773712,5.280564472827494e-05,0.0,0.1783704088853264,0.0,0.0,2.201266771185447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.736631094676328,,output/mult_default/Qwen3_235B_A22B_Instruct-cpr-v0-n1-blinded.json
gpt_5.1,cpr,default=0,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009031446590796996,0.0,0.0,0.0,0.0,5.509215133852417e-05,0.0,0.0,5.595972648321684e-05,0.0,0.00843595104860135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904182084381662,29.892130378054585,,output/mult_default/gpt_5.1-cpr-default=0-v0-n1-blinded.json
gpt_5.1,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901668075020037,0.653900975312596,0.018262154104477468,0.0,0.0,0.010405461751320592,0.0,0.0,0.0,0.0,0.008626430779957193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.642335194581275,,output/mult_default/gpt_5.1-cpr-default=11-v0-n1-blinded.json
gpt_5.1,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8680498884850513,0.0,0.0017561503001906047,0.0,0.00039185009772624274,0.0,0.0004653335046885057,0.0,0.0,0.0,0.0,0.0,0.12902408391013845,19.55053222230139,,output/mult_default/gpt_5.1-cpr-default=18-v0-n1-blinded.json
gpt_5.1,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044735772478514,0.0,0.0,0.0,0.0,0.7718022038309649,0.0005230141680827277,0.0,0.0004837090326465714,0.0,0.0,0.0,0.2246072395217652,24.522849087694077,,output/mult_default/gpt_5.1-cpr-default=23-v0-n1-blinded.json
gpt_5.1,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015939808843822756,0.0,0.0018928991357666648,0.0,0.0,0.0,0.0003727339398163851,0.0,0.9805459842969312,0.0,0.0,0.0,0.014657975470744478,26.00943010903235,,output/mult_default/gpt_5.1-cpr-default=26-v0-n1-blinded.json
gpt_5.1,cpr,default=30,0,1,blinded,0.00019714925948731792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704324834489179e-05,0.0,0.0,0.0,1.0127060558413417e-05,0.0,8.662133927998213e-06,0.0,0.0,0.0,0.9997003328191272,29.992219114476242,,output/mult_default/gpt_5.1-cpr-default=30-v0-n1-blinded.json
gpt_5.1,cpr,"no default, no group extraction",0,1,blinded,8.215668953401942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60994713871264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041075780096096995,0.0,0.0,0.0,0.0,1.0776612447488443e-05,0.0,0.0,0.0,0.0,0.99936829805577,29.990394507717376,,output/mult_default/gpt_5.1-cpr-v0-n1-blinded.json
gpt_5.4,cpr,default=0,0,1,blinded,0.10837472955333861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024181670761279216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8007869563760565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657325962121647,18.229533721498864,,output/mult_default/gpt_5.4-cpr-default=0-v0-n1-blinded.json
gpt_5.4,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49539482528042605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49539482528042605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.357239583693207,,output/mult_default/gpt_5.4-cpr-default=11-v0-n1-blinded.json
gpt_5.4,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9646004934717767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017667274310323854,17.892827111801694,,output/mult_default/gpt_5.4-cpr-default=18-v0-n1-blinded.json
