model,condition,variant,spike,argmax,argmax_prob,coverage,error
Qwen3_235B_A22B_Instruct,0,V0_true,0.5290878502384551,0,0.5290878502384551,0.9998473281970175,
Qwen3_235B_A22B_Instruct,0,V1,0.36557781194349653,4,0.48431191339219165,0.9999225570596795,
Qwen3_235B_A22B_Instruct,0,V2,0.019447842690850408,4,0.7647975651410756,0.9999664600748724,
Qwen3_235B_A22B_Instruct,0,V3,0.8436168558526848,0,0.8436168558526848,0.9999320919176543,
Qwen3_235B_A22B_Instruct,2,V0_true,0.9164898787236128,2,0.9164898787236128,0.9998868745541157,
Qwen3_235B_A22B_Instruct,2,V1,0.9729850362107371,2,0.9729850362107371,0.9999616183394054,
Qwen3_235B_A22B_Instruct,2,V2,0.4208856925755475,4,0.5752825335094687,0.9998669436796764,
Qwen3_235B_A22B_Instruct,2,V3,0.9966107235393469,2,0.9966107235393469,0.9999846370686006,
Qwen3_235B_A22B_Instruct,4,V0_true,0.9907969338536998,4,0.9907969338536998,0.9999346929666458,
Qwen3_235B_A22B_Instruct,4,V1,0.9987331009926843,4,0.9987331009926843,0.9999694635836622,
Qwen3_235B_A22B_Instruct,4,V2,0.8930385939669602,4,0.8930385939669602,0.9997784336208696,
Qwen3_235B_A22B_Instruct,4,V3,0.9998154980680914,4,0.9998154980680914,0.9999913404857494,
